Unnamed: 0,FID,COMID,Name,REACHCODE,GRIDCODE,Reach_Km2,UpstrmKm2,BFI,Slope,Elevation,Solar,HiCascade,Forest,Developed,Ag,Shrub,Water,AirC,Air245mid,Air245late,Air585mid,Air585late,STpresent,ST_245mid,ST_245late,ST_585mid,ST_585late,Diff_245mi,Diff_245la,Diff_585mi,Diff585la,pred_SE,CO,CHS,BT,STW,ST_HIP_km,CO_HIP_km,CH_HIP_km,ADULTp,ADULT245m,ADULT245l,ADULT585m,ADULT585l,JUVp,JUV245m,JUV245l,JUV585m,JUV585l,BTp,BT245m,BT245l,BT585m,BT585l
30,428,23809840, ,1.71E+13,480193,1.98,1.98,51,0.03,260.44,-0.36,0,0.28,0.08,0.61,0.02,0,24.85,28.33,29.43,29.77,31.86,19.71,21.72,22.13,22.26,23.5,2.01,2.42,2.55,3.79,2.18,0,0,0,0,0,0,0,0.76,0.58,0.54,0.54,0.41,0.86,0.73,0.71,0.69,0.58,0.06,0.02,0.01,0.01,0.01
31,429,23809828, ,1.71E+13,479918,0.39,2.36,51,0.03,202.24,-0.34,0,0.34,0.07,0.54,0.04,0,25.52,28.49,29.57,29.91,31.95,20.09,22.14,22.55,22.68,23.92,2.05,2.46,2.59,3.83,1.4,0,0,0,0,0.68,0,0,0.75,0.56,0.52,0.51,0.35,0.86,0.71,0.68,0.67,0.56,0.03,0.01,0.01,0,0
32,430,23809832, ,1.71E+13,479990,0.86,6.1,50.52,0.01,83.01,-0.09,0,0.2,0.08,0.61,0.04,0.06,26.21,29.21,30.3,30.63,32.69,21.95,24.22,24.64,24.76,25.99,2.27,2.69,2.81,4.04,1.67,1,0,0,1,0,1.29,0,0.58,0.31,0.27,0.26,0.13,0.72,0.53,0.49,0.47,0.37,0.01,0,0,0,0
33,431,23809846, ,1.71E+13,480087,2.09,2.09,51.14,0.03,292.08,-0.14,0,0.25,0.13,0.54,0.07,0.01,24.7,27.91,29.03,29.37,31.48,19.67,21.67,22.09,22.22,23.46,2,2.42,2.55,3.79,2.4,0,0,0,0,0,0.19,0,0.76,0.59,0.54,0.53,0.4,0.86,0.73,0.69,0.69,0.6,0.06,0.02,0.02,0.02,0.01
34,432,23809834, ,1.71E+13,479981,1.76,3.85,51,0.02,226.52,-0.15,0,0.33,0.1,0.47,0.09,0.01,25.07,28.35,29.43,29.76,31.81,20.14,22.2,22.62,22.74,23.98,2.06,2.48,2.6,3.84,2.37,0,0,0,0,1.1,2.14,0,0.73,0.54,0.5,0.48,0.35,0.83,0.71,0.67,0.65,0.54,0.05,0.01,0.01,0.01,0
35,435,23809838, ,1.71E+13,480069,1.3,1.3,50.69,0,91.39,-0.1,0,0.05,0.08,0.76,0.02,0.09,26.08,29.24,30.34,30.66,32.73,21.53,23.76,24.18,24.3,25.53,2.23,2.65,2.77,4,2.57,0,0,0,0,0,0,0,0.61,0.36,0.35,0.32,0.21,0.73,0.56,0.52,0.52,0.4,0.03,0.01,0,0.01,0
36,436,23809844, ,1.71E+13,480052,6.22,6.22,50,0.02,101.29,-0.29,0,0.08,0.07,0.83,0.01,0.01,26.46,29.3,30.35,30.66,32.65,21.51,23.73,24.15,24.27,25.51,2.22,2.64,2.76,4,2.5,0,0,0,0,0,2.55,0,0.61,0.38,0.36,0.32,0.21,0.74,0.55,0.53,0.53,0.41,0.02,0.01,0,0,0
37,437,23809850, ,1.71E+13,480064,3.94,3.94,50.96,0.02,143.66,0.23,0,0.29,0.06,0.52,0.05,0.06,25.89,29.18,30.28,30.61,32.7,21.16,23.33,23.75,23.88,25.11,2.17,2.59,2.72,3.95,2.41,1,0,0,1,0,0.29,0,0.63,0.43,0.38,0.36,0.24,0.76,0.6,0.55,0.56,0.44,0.03,0.01,0.01,0.01,0
38,438,23809852, ,1.71E+13,480065,2.11,2.11,50.11,0.03,126.87,-0.01,0,0.16,0.12,0.67,0.03,0.01,26.38,29.28,30.33,30.64,32.63,21.68,23.92,24.34,24.47,25.7,2.24,2.66,2.79,4.02,2.36,0,0,0,0,0,0,0,0.6,0.37,0.31,0.29,0.18,0.72,0.53,0.52,0.49,0.39,0.02,0,0,0,0
39,439,23809854, ,1.71E+13,480084,6.94,6.94,51.39,0.03,309.98,-0.02,0,0.44,0.05,0.36,0.15,0,24.63,28.21,29.33,29.67,31.79,20.01,22.05,22.47,22.6,23.83,2.04,2.46,2.59,3.82,2.4,1,0,0,0,3.97,1.39,0,0.72,0.54,0.52,0.49,0.39,0.84,0.7,0.67,0.65,0.55,0.05,0.02,0.01,0.01,0.01
40,440,23809856, ,1.71E+13,479933,3.02,7.13,51.06,0.03,287.56,-0.01,0,0.47,0.06,0.28,0.18,0,24.78,28.17,29.29,29.63,31.75,20.89,23.03,23.45,23.58,24.81,2.14,2.56,2.69,3.92,2.46,0,0,0,1,1.35,0.89,0,0.65,0.45,0.42,0.39,0.27,0.79,0.62,0.59,0.59,0.46,0.04,0.01,0.01,0.01,0
41,441,23809858, ,1.71E+13,480031,2.08,2.08,51.97,0.04,350.34,-0.07,0,0.35,0.05,0.31,0.28,0,24.41,27.92,29.04,29.37,31.5,20.14,22.19,22.61,22.74,23.98,2.05,2.47,2.6,3.84,2.38,0,0,0,0,0,0,0,0.71,0.56,0.47,0.49,0.36,0.83,0.68,0.66,0.65,0.55,0.04,0.01,0.01,0.01,0
42,442,23809860, ,1.71E+13,479928,2.03,2.03,51.99,0.04,350.5,0.07,0,0.4,0.07,0.4,0.12,0,24.43,27.92,29.04,29.37,31.5,19.71,21.72,22.13,22.26,23.5,2.01,2.42,2.55,3.79,2.3,0,0,0,0,0.45,0,0,0.76,0.58,0.56,0.55,0.39,0.85,0.73,0.7,0.69,0.59,0.06,0.02,0.01,0.01,0.01
43,443,23809862, ,1.71E+13,479964,5.45,6.2,50,0.03,122.57,-0.11,0,0.19,0.24,0.48,0.08,0.01,26.37,29.46,30.48,30.78,32.72,21.6,23.83,24.25,24.37,25.6,2.23,2.65,2.77,4,2.26,0,0,0,1,0.74,0.02,0,0.6,0.38,0.33,0.31,0.2,0.74,0.57,0.52,0.5,0.39,0.02,0,0,0,0
44,444,23809864, ,1.71E+13,479929,1.08,1.08,50.99,0.04,138.24,0.19,0,0.05,0.13,0.81,0.01,0,25.99,29.27,30.33,30.65,32.65,20.66,22.78,23.19,23.32,24.56,2.12,2.53,2.66,3.9,2.18,0,0,0,0,0,0,0,0.69,0.49,0.43,0.42,0.29,0.8,0.65,0.61,0.6,0.49,0.04,0.01,0.01,0.01,0
45,445,23809870, ,1.71E+13,480102,0.59,0.59,50,0.03,177.88,-0.34,0,0.33,0.14,0.47,0.04,0,26.04,29.03,30.09,30.41,32.43,20.94,23.09,23.51,23.64,24.87,2.15,2.57,2.7,3.93,2.1,0,0,0,0,0,0,0,0.67,0.44,0.41,0.4,0.25,0.79,0.63,0.58,0.57,0.46,0.03,0.01,0,0,0
46,446,23809872, ,1.71E+13,479920,1.88,1.88,50,0.03,170.59,-0.23,0,0.67,0.05,0.14,0.14,0,26.04,28.94,30.01,30.33,32.36,21.42,23.63,24.05,24.17,25.4,2.21,2.63,2.75,3.98,2.24,0,0,0,0,0,0,0,0.62,0.39,0.34,0.34,0.21,0.75,0.57,0.54,0.54,0.41,0.02,0,0,0,0
47,447,23809878, ,1.71E+13,479961,2.89,2.89,51.41,0.03,185.63,-0.41,0,0.26,0.06,0.58,0.09,0,25.9,28.71,29.86,30.18,32.32,20.86,23,23.42,23.54,24.78,2.14,2.56,2.68,3.92,2.28,0,0,0,0,0,0,0,0.67,0.45,0.41,0.4,0.26,0.79,0.63,0.58,0.58,0.47,0.03,0.01,0.01,0.01,0
